รหัสสถานี,ชื่อผู้ได้รับใบอนุญาต,ชื่อสถานี,ความถี่,ประเภทบริการ/กิจการ,สถานะใบอนุญาต ปี 2567 (eBcs),อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,ตรวจสอบมาตรฐาน 2566 ,ตรวจสอบมาตรฐาน 2567 ,ตรวจการแพร่แปลกปลอม ,ยื่นคำขอ 10/1/68   ,หมายเหตุ
05550017,ห้างหุ้นส่วนจำกัด สตูดิโอเฮาส์พิมาย,คนเมืองพิมาย,103.75,บริการธุรกิจ,ได้รับอนุญาต,พิมาย,นครราชสีมา,15.22738,102.49606,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-25 00:00:00,
05520211,บริษัท ทิพย์พรชัย จำกัด,เมืองสีคิ้ว,104.0,บริการธุรกิจ,ได้รับอนุญาต,สีคิ้ว,นครราชสีมา,14.885684,101.731862,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-08 00:00:00,
05540091,มูลนิธิวิทยุคริสเตียนเพื่อชีวิต,วิทยุชุมชนคริสเตียนเพื่อคนครบุรี,104.25,บริการสาธารณะ,ได้รับอนุญาต,ครบุรี,นครราชสีมา,14.519834,102.257879,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-18 00:00:00,
05520159,วัดป่าเขาหินตัด,พระพุทธศาสนาเสียงธรรมเพื่อพุทธบริษัท,104.25,บริการสาธารณะ,ได้รับอนุญาต,สีคิ้ว,นครราชสีมา,14.86532,101.67939,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-07 00:00:00,
05520243,สหกรณ์การเกษตรชุมพวง จำกัด,สหกรณ์ชุมพวง,104.25,บริการธุรกิจ,ได้รับอนุญาต,ชุมพวง,นครราชสีมา,15.33997,102.73866,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520190,ห้างหุ้นส่วนจำกัด มวลชนสัมพันธ์ ปากช่อง,ปากช่อง สัมพันธ์,104.25,บริการธุรกิจ,ได้รับอนุญาต,ปากช่อง,นครราชสีมา,14.716609,101.416933,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-30 00:00:00,
05520170,สำนักงานคณะกรรมการการอาชีวศึกษา,เพื่อการศึกษาและพัฒนาอาชีพ (R-Radio Network) วิทยาลัยเทคนิคสุรนารี,104.5,บริการสาธารณะ,ได้รับอนุญาต,โชคชัย,นครราชสีมา,14.819201,102.144737,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-21 00:00:00,
05520095,สมาคมวิชาชีพวิทยุ-โทรทัศน์ภาคประชาชน,ท้องถิ่นประทาย,104.5,บริการสาธารณะ,ได้รับอนุญาต,ประทาย,นครราชสีมา,15.528925,102.718349,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-24 00:00:00,
05520118,ห้างหุ้นส่วนจำกัด รุ่งสีมา,ตำบลมะเริง,104.75,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.982231,102.17113,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520272,ห้างหุ้นส่วนจำกัด ลูกรังทอง 9 ค้าวัสดุ,โฮมเรดิโอ,104.75,บริการธุรกิจ,ได้รับอนุญาต,แก้งสนามนาง,นครราชสีมา,15.723164,102.292285,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-27 00:00:00,
05520001,บริษัท ซี แชนแนล จำกัด,105 อโรมา แชลแนล นครราชสีมา,105.0,บริการธุรกิจ,ยกเลิก,เมืองนครราชสีมา,นครราชสีมา,14.991709,102.105101,,,ยังไม่ตรวจ,,ตามมติ กสทช. ครั้งที่ 24/2567 ลว. 24 ต.ค. 2567
05520267,บริษัท โกลบอล เน็ตเวิร์ค อินเตอร์เทรดดิ้ง จำกัด,เอื้ออาทรพิมาย,105.0,บริการธุรกิจ,ได้รับอนุญาต,พิมาย,นครราชสีมา,15.206499,102.483372,,ตรงตามมาตรฐาน,ยังไม่ตรวจ,-,
05520081,ห้างหุ้นส่วนจำกัด ศุภมาส เรดิโอ สเตชั่น,คลื่นข่าวชาวบ้าน,105.0,บริการธุรกิจ,ได้รับอนุญาต,ปากช่อง,นครราชสีมา,14.707492,101.423202,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-05 00:00:00,
